N° PARC;Immatriculation;Alias;Priorité;Nb Places Assises;Nb Places Debout;Type du car;Couleur;Luxe?;Super Luxe?;Centre;Conducteur Habituel;Date Entrée;Date mise en circulation;Date Sortie;N° Attestation Aménagement;N° Carte Grise;Siège guide?;Famille de car;Tel du car;Sous-traitant?;N° d'autorisation circulation;Secteur Géographique;Observations;Sous-traitant AbcCar?;Lieu Stationnement;Equipé de ceinture?;Présent dans Plan de charge?;Soumis au SAE?;Equipé d'un tachy numérique?;Stockage Photo;CAPLIS;DKV;Total;Visu au planning?;Norme Euro;N° série;Marque;Modèle;Type;Réservoir;Début de garantie;Durée garantie (mois);Fin de garantie;Compteur à l'achat;Compteur kilométrique;Documents associés;CLIM;ETHY;EXTINCTEURS;LIMITEUR;MINES;SACEM;TACHY;VIDÉO;CONDITION GARANTIE;CONDITION GARANTIE (Remarque);ELEC;UFR;USB;WC
5;EV-005-DG;;0;53;0;SCANIA TOURING;;N;N;LRF;;06/03/2018;20/02/2018;;;;O;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;YS2K4X20001900118;;;SCANIA TOURING;0;;0;;1989;0;;;20/02/2019;;20/02/2019;20/08/2018;;20/02/2020;; ;;;;;
63;EF-063-VL;;5;63;0;IVECO CROSSWAY;;N;N;LRF;BOUHAD GHARIB;13/10/2016;05/10/2016;;;;N;AUTOCARS;;N;;SAINT JULIEN EN GENEVOIS;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037NX0M028131;;;IVECO CROSSWAY;0;;0;;1461;0;;;28/09/2018;;28/09/2018;29/03/2018;;08/10/2018;;;;;;;
119;EG-119-EX;;2;65;0;MERCEDES TOURISMO RHD-L;;N;N;LRF;BOUCHET STEPHANE;28/10/2016;24/10/2016;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63245113275478;;;MERCEDES TOURISMO RHD-L;0;;0;;0;0;;;03/10/2018;;03/10/2018;17/04/2018;;26/10/2018;;;;;;;
131;ER-131-MR;;5;63;0;IVECO CROSSWAY;;N;N;ACY;BOUANANI AMARIA;03/11/2017;25/10/2017;;;;N;AUTOCARS;;N;;SAINT JULIEN EN GENEVOIS;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037N40M032496;;;IVECO CROSSWAY;0;;0;;0;0;;;03/10/2018;;05/10/2018;25/04/2018;;26/10/2019;;;;;;;
147;ER-147-HD;;3;63;0;IVECO CROSSWAY;;N;N;LRF;RIGHI MOHAMED;26/10/2017;17/10/2017;;;;N;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE6037N90M032445;;;IVECO CROSSWAY;0;;0;;0;0;;;04/10/2018;;09/10/2018;17/04/2018;;19/10/2019;;;;;;;
165;EJ-165-XQ;;2;61;0;VOLVO 9700;;N;N;LRF;KHATIMI FATEH;10/02/2017;08/02/2017;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;YV3T2U822H1183396;;;VOLVO 9700;0;;0;;1500;0;;;07/02/2019;;07/02/2019;29/07/2018;;08/02/2019;;;;;;;
167;EQ-167-AS;;3;63;0;IVECO CROSSWAY;;N;N;LRF;SOUMARE LANKA SAMBA;01/09/2017;25/08/2017;;;;N;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE6037N40M029825;;;CROSSWAY;0;25/08/2017;48;;0;0;;;02/02/2019;;02/02/2019;21/08/2018;;28/08/2019;;;;;;;
193;DL-193-TZ;;2;61;0;IVECO CROSSWAY;;N;N;LRF;DEAGE PIERRE;08/12/2014;17/11/2014;;;2014FA57042;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037N80M021565;;;CBCW3/003CC1JA5;0;;0;;0;0;;;03/08/2018;;03/08/2018;03/05/2018;;10/08/2018;;;;;;;
207;DM-207-AB;;21;53;0;MERCEDES TOURISMO;;N;N;LRF;;;25/11/2014;;;2014FD10570;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113268405;;;63201DH3AKABGE4I420530002A000;0;;0;;0;0;;;30/10/2018;;30/10/2018;22/05/2018;;02/11/2018;;;;;;;
223;CS-223-JK;;2;9;0;CITROEN;;N;N;LRF;;06/05/2015;;;;;N;MINIBUS;;N;;;;N;;O;1;N;O;;;;;1;;VF7XDAHZ4DZ013713;;;JUMPY 2;0;;0;;0;0;;;;;;20/03/2018;;;;;;;;;
